,RANK
D_O2_FLUX,1
ROOT_N,1
H_BLYR_RSC,1
PRECIP_P,1
STORED_C,1
MICRO_P,1
NET_N_MIN,1
{SOL_N},1
HUMUS_N,1
NET_PL_EXCH_N,1
CAN_H,1
RESERVE_P,1
H_EVAPN,1
NH4_RES,1
NO3,1
RESIDUE_C,1
D_ICE,1
O2_LIT,1
ECO_CO2_FLUX,1
P_BALANCE,1
H_O2_STRESS,1
LITTER_C,1
N2_FLUX,1
ROOT_C,1
MICRO_C,1
TMIN_SOIL,1
NET_P_MIN,1
PO4,1
N2O_FLUX,1
CH4_FLUX,1
CO2_LIT,1
EXCH_P,1
D_ET,1
SUR_DIC_FLX,1
AUTO_RESP,1
D_PRECN,1
D_DISCHG,1
ECO_RH,1
SOC,1
HUMUS_C,1
SUB_DOC_FLX,1
SUB_DIN_FLX,1
SURF_RES,1
CAN_HT,1
SURF_ELEV,1
NH3_FLUX,1
SOIL_CO2_FLUX,1
LEAF_N/C,1
NBP,1
SUR_DIN_FLX,1
RESERVE_C,1
MICRO_N,1
N2_FIXN,1
SUB_DIP_FLX,1
SUB_DIC_FLX,1
LEAF_P/C,1
H2_FLUX,1
H_ECO_H,1
END_SEED_FILL,1
EXCH_PO4,1
N_STRESS,1
OXY_STRESS,1
NH4,1
