,RANK
ABV_GRD_RESP,1
HUSK_N,1
MICRO_P,1
HUMUS_P,1
SHOOT_C,1
SUB_DIP_FLX,1
MICRO_C,1
CO2_FLUX,1
NET_PL_EXCH_N,1
PRECIP_P,1
RESERVE_P,1
MICRO_N,1
GRAIN_P,1
SUR_DIP_FLX,1
LITTER_P,1
SURF_ELEV,1
SHOOT_P,1
H_TEMP,1
TURG_CAN,1
ECO_RA,1
NH3_FLUX,1
H_O2_STRESS,1
NDL_N,1
H_RUNOFF,1
{SOL._C},1
D_WTR,1
TMIN_SOIL,1
LITTER_N,1
SUB_DIN_FLX,1
NET_N_MIN,1
{SOL_P},1
EXUD_C,1
H_HUM,1
STALK_N,1
N2O_FLUX,1
NET_PL_EXCH_P,1
UPTK_N,1
{SOL_N},1
EXCH_PO4,1
AUTO_RESP,1
ECO_NPP,1
UPTK_P,1
SUR_DIN_FLX,1
LEAF_N,1
SUB_DON_FLX,1
N2_FLUX,1
ROOT_P,1
LITTER_C,1
SUR_DIC_FLX,1
H_H_SEDIMENT,1
ECO_GPP,1
ROOT_C,1
EMERGENCE,1
N2_FIXN,1
_CH4_FLUX,1
