,RANK
O2_FLUX,1
H_SOIL_H,1
H_TEMP_CAN_AIR,1
N_BALANCE,1
NODE_NO.,1
H_SOIL_G,1
H_WTR,1
D_TRANSPN,1
NET_N_MIN,1
H_TEMP_LITTER,1
SEED_MASS_SET,1
H_TTL_SWC,1
D_WTR,1
N2O_FLUX,1
{SOL_N},1
H_TRANSPN,1
C_BALANCE,1
H_O2_STRESS,1
LEAF_C,1
POPN,1
SUB_DOC_FLX,1
NH4,1
NET_P_MIN,1
SUB_DIN_FLX,1
RESIDUE_N,1
H_DISCHG,1
HUMUS_N,1
H_RUNOFF,1
SUR_DOC+SED_FLX,1
RUB_ACTVN,1
EXCH_P,1
SUB_DIC_FLX,1
PO4_RES,1
HUMUS_C,1
CAN_G,1
H_EVAPN,1
H_SOL_RADN,1
H_ECO_G,1
O2,1
LEAF_P/C,1
NBP,1
H_PREC,1
H_SOIL_RN,1
ECO_NPP,1
H2_FLUX,1
CAN_RN,1
ECO_GPP,1
CO2,1
OXY_STRESS,1
RESIDUE_C,1
TMAX_AIR,1
MICRO_N,1
MICRO_P,1
SHOOT_C,1
TTL_DIC,1
ROOT_N,1
D_W_PRECN,1
SURF_RES,1
ECO_CO2_FLUX,1
_CH4_FLUX,1
NH3_FLUX,1
STORED_N,1
STORED_C,1
CO2_LIT,1
H_ECO_H,1
CAN_CO2_FLUX,1
CAN_LE,1
NDL_C,1
AUTO_RESP,1
NDL_N,1
CAN_TEMP,1
MIN_LWP,1
LITTER_C,1
CAN_HT,1
PRECIP_P,1
PSI,1
PO4,1
DNS_RT,1
FLORAL_INIT.,1
D_O2_FLUX,1
LEAF_N/C,1
UPTK_N,1
H_HUM,1
SF_LIT_P,1
HMAX_AIR,1
EXCH_PO4,1
H_SURF_WTR,1
TEMP_FN,1
O2_LIT,1
CH4_FLUX,1
RESERVE_C,1
N2_FLUX,1
TEMP_STRESS,1
RESERVE_N,1
H_ECO_RN,1
NO3,1
MICRO_C,1
CH4,1
H_H_SEDIMENT,1
