,GINI
ABV_GRD_RESP,0.73997176
D_TRANSPN,0.054894213
UPTK_P,0.033749066
D_DISCHG,0.026058536
STALK_N,0.018157179
ECO_NPP,0.016846009
N2_FLUX,0.01659464
H2_FLUX,0.012152798
HUMUS_N,0.011616897
ECO_RH,0.0091145225
N2O_FLUX,0.008616952
LEAF_C,0.0044686045
NET_PL_EXCH_P,0.004075559
UPTK_N,0.0037248395
{SOL_N},0.003355488
EXCH_PO4,0.002696599
AUTO_RESP,0.0024597922
D_RUNOFF,0.0023482332
SUR_DIN_FLX,0.0022586875
LEAF_N,0.0021246604
SUB_DON_FLX,0.0019388555
SUR_DIC_FLX,0.0015523043
EXCH_P,0.0014870974
N2_FIXN,0.0014407678
_CH4_FLUX,0.0013851648
EMERGENCE,0.0013089643
ROOT_C,0.0011236289
ROOT_P,0.0010822203
ECO_GPP,0.0010202632
H_H_SEDIMENT,0.00094420457
LITTER_C,0.0009328347
D_O2_FLUX,0.0008338724
NH4_RES,0.00082269375
{SOL_P},0.0007506205
LITTER_P,0.00066753593
HUSK_N,0.0006513658
MICRO_P,0.0006319854
HUMUS_P,0.0005828713
SHOOT_C,0.00052942056
SUB_DIP_FLX,0.00052363955
MICRO_C,0.0003899683
D_P_STRESS,0.00036380932
CO2_FLUX,0.00034398292
NET_PL_EXCH_N,0.00026315177
EXUD_C,0.00026187717
D_NH3_FLUX,0.00021532719
PRECIP_P,0.00020452414
ECO_CO2_FLUX,0.00017025202
LEAF_P/C,0.00016465082
RESERVE_P,0.00016266631
MICRO_N,0.00013442979
H_TTL_SWC,0.00013324377
GRAIN_P,0.00012961999
RESIDUE_C,0.00012346686
RESERVE_N,9.833669e-05
SUR_DIP_FLX,9.2818984e-05
SOC,8.8272136e-05
SURF_ELEV,6.882935e-05
NET_N_MIN,6.819958e-05
H_WIND,6.530784e-05
HUMUS_C,6.266839e-05
SHOOT_P,6.098367e-05
H_TEMP_LITTER,5.9917464e-05
H_TEMP,5.2287152e-05
PSI_RT,4.864277e-05
TURG_CAN,4.8278845e-05
ECO_RA,4.4482473e-05
NH3_FLUX,3.486774e-05
D_ET,3.0114988e-05
{TNC},2.723736e-05
NH4,2.6779451e-05
H_O2_STRESS,2.6695396e-05
PO4,2.5131018e-05
SOIL_CO2_FLUX,2.5062305e-05
NDL_N,2.4929592e-05
NO3,2.443238e-05
CO2_LIT,2.2524438e-05
H_RUNOFF,2.1814438e-05
{SOL._C},2.0216703e-05
D_WTR,1.9039011e-05
TMIN_SOIL,1.8754807e-05
H_SOIL_H,1.8664816e-05
LITTER_N,1.8043258e-05
SURF_RES,1.6619302e-05
D_PRECN,1.6315169e-05
SHOOT_N,1.43803845e-05
SUB_DIN_FLX,1.309548e-05
PSI_SURF,1.2875145e-05
GRAIN_C,1.2056549e-05
H_HUM,1.0799792e-05
