,GINI
NH4_9,0.00014039775
O2_9,0.00015176104
H_WTR_8,0.00015332882
NET_PL_EXCH_N,0.00015525201
WTR_STRESS,0.00016561133
NET_P_MIN,0.00017419067
SOC_1,0.00020291442
DNS_RT_1,0.0002167438
O2_10,0.00025479423
SUR_DIN_FLX,0.00028833142
ECO_RH,0.0003662303
CO2_FLUX,0.00039887824
H2_FLUX,0.00046112674
NO3_7,0.0004624982
DNS_RT_5,0.0005023321
NO3_5,0.0005699562
PSI_RT_3,0.0007453144
N2_FLUX,0.00078323303
PO4_3,0.0012868088
D_O2_FLUX,0.0013955422
NO3_8,0.0017853944
STALK_C,0.0018770783
LEAF_N,0.0019348642
STALK_N,0.0027172253
D_ET,0.0045407373
ABV_GRD_RESP,0.010215064
ECO_GPP,0.011681344
D_TRANSPN,0.012017136
CAN_RA,0.015433892
RESERVE_C,0.01604029
CAN_GPP,0.025976188
D_NH3_FLUX,0.036560137
D_PRECN,0.053056963
ECO_RA,0.05394123
TMAX_SOIL_14,0.08321681
ECO_NPP,0.65825564
