,GINI
CAN_RA,0.7284955
D_NH3_FLUX,0.1331687
D_AUTO_RESP,0.08724895
ABV_GRD_RESP,0.02840673
SHOOT_P,0.0034981726
STORED_N,0.0031719133
D_ET,0.0029420124
D_O2_FLUX,0.002505977
STALK_N,0.001445737
{SOL._C},0.0012659244
N2_FIXN,0.0012152903
D_PRECN,0.0007513299
HUSK_N,0.0005358505
LEAF_N,0.0005293665
HUMUS_N,0.0004728055
NODE_NO.,0.0003887436
GRAIN_NO.,0.0003674335
ECO_NPP,0.00033109446
AUTO_RESP,0.00031183174
ROOT_N,0.00026849762
RESERVE_N,0.00026077137
SUR_DON+SED_FLX,0.00025044134
H2_FLUX,0.00020234715
SUR_DIN_FLX,0.00017739448
STALK_C,0.00017647645
D_RUNOFF,0.000113739254
TTL_DIC,0.000100291836
NET_P_MIN,0.00010001331
ROOT_C,9.8722405e-05
SF_LIT_C,8.3591054e-05
C_BALANCE,7.6551296e-05
D_O2_STRESS,7.1100054e-05
MICRO_N,6.953404e-05
D_LITTER_C,6.655558e-05
LITTER_P,6.575403e-05
SHOOT_C,4.6555437e-05
ECO_GPP,4.351134e-05
MICRO_C,4.235112e-05
SHOOT_N,4.1612682e-05
{SOL_N},3.833856e-05
CAN_LE,3.5413508e-05
RUB_ACTVN,3.0752937e-05
HUMUS_C,3.070199e-05
LITTER_C,3.0103103e-05
TMIN_SOIL,2.4849629e-05
N_BALANCE,2.4674797e-05
SF_LIT_N,2.3668394e-05
RESIDUE_C,2.2361879e-05
SUB_DIP_FLX,2.2092103e-05
NET_N_MIN,2.0886291e-05
RESERVE_P,1.8759229e-05
H_ICE,1.7521512e-05
NDL_N,1.5211323e-05
TURG_CAN,1.4370742e-05
SURF_ELEV,1.38153355e-05
LEAF_C,1.29707005e-05
CAN_CO2_FLUX,1.2948665e-05
MIN_LWP,1.2691111e-05
NO3,1.1903886e-05
WTR_STRESS,1.0771328e-05
O2,1.0591848e-05
