,GINI
O2_FLUX,0.4665469
LITTER_C,0.065610185
MIN_LWP,0.04763903
CAN_TEMP,0.027880454
NDL_N,0.017103458
AUTO_RESP,0.01662797
NDL_C,0.015585029
CAN_LE,0.015258224
CAN_CO2_FLUX,0.015210927
H_ECO_H,0.015174985
CO2_LIT,0.0147128645
CAN_HT,0.013067436
STORED_C,0.012352556
NH3_FLUX,0.012215474
_CH4_FLUX,0.012176481
ECO_CO2_FLUX,0.011611248
SURF_RES,0.01140727
D_W_PRECN,0.009775655
ROOT_N,0.008361676
TTL_DIC,0.007995836
SHOOT_C,0.00793035
MICRO_P,0.0066465526
MICRO_N,0.0064570336
STORED_N,0.0064206505
PSI,0.0059596626
PSI_SURF,0.005446054
PO4,0.0049814945
MICRO_C,0.004784576
NO3,0.00477084
H_ECO_RN,0.00474002
RESERVE_N,0.004661599
TEMP_STRESS,0.0042981785
N2_FLUX,0.0042365114
RESERVE_C,0.004101183
CH4_FLUX,0.0038515872
O2_LIT,0.003740277
CH4,0.0037189478
H_SURF_WTR,0.003677783
TEMP_FN,0.0035829786
EXCH_PO4,0.0033250868
HMAX_AIR,0.0033146476
SF_LIT_P,0.0032587673
H_HUM,0.0029272838
UPTK_N,0.0028659017
LEAF_N/C,0.0028594737
D_O2_FLUX,0.0027847255
FLORAL_INIT.,0.002587233
DNS_RT,0.0025576411
TMAX_AIR,0.0024834462
PRECIP_P,0.0023507313
RESIDUE_C,0.0023305842
NH4_RES,0.0022277548
SUB_DIN_FLX,0.0022163386
NH4,0.0021512709
SUB_DOC_FLX,0.0021185812
POPN,0.0020619484
LEAF_C,0.0019691782
H_O2_STRESS,0.0019536098
C_BALANCE,0.001925385
H_TRANSPN,0.0018948158
{SOL_N},0.001882935
N2O_FLUX,0.0018768902
D_WTR,0.00172348
H_TTL_SWC,0.0016797293
SEED_MASS_SET,0.0016576457
H_TEMP_LITTER,0.0014688503
NET_N_MIN,0.001432672
D_TRANSPN,0.0014301082
H_WTR,0.0014219123
H_SOIL_G,0.0014091921
NODE_NO.,0.0013971268
N_BALANCE,0.0012251207
H_TEMP_CAN_AIR,0.0011985496
H_SOIL_H,0.0011879272
NET_P_MIN,0.0011648216
RESIDUE_N,0.0011490053
CO2,0.0011324104
H_DISCHG,0.0010929995
ECO_GPP,0.0010904461
CAN_RN,0.0010163109
H2_FLUX,0.000986136
ECO_NPP,0.0008809321
H_SOIL_RN,0.0007538222
H_PREC,0.00074341026
NBP,0.0007361281
LEAF_P/C,0.00058683805
O2,0.00057463365
H_ECO_G,0.0005412098
H_SOL_RADN,0.00052733085
H_EVAPN,0.00049292896
CAN_G,0.00046501643
HUMUS_C,0.00046427932
PO4_RES,0.00040986584
SUB_DIC_FLX,0.00038146338
EXCH_P,0.00031012052
RUB_ACTVN,0.00025807877
SUR_DOC+SED_FLX,0.00024103385
H_ICE,0.00019450742
H_RUNOFF,0.00015082197
HUMUS_N,0.0001043918
OXY_STRESS,3.8457027e-05
H_H_SEDIMENT,3.335204e-05
