,GINI
STORED_N,0.6550096
CAN_HT,0.14027429
POPN,0.03942487
{TNC},0.036242604
NODE_NO.,0.036101177
SHOOT_C,0.031874683
ECO_LAI,0.028837245
AUTO_RESP,0.010530578
{SOL._C},0.007255148
O2_LIT,0.0023636306
H_WIND,0.0019384677
ECO_RA,0.0017454438
CAN_CO2_FLUX,0.0015538095
LEAF_C,0.0011212921
D_LITTER_C,0.0008871091
SUB_DOP_FLX,0.00068073097
ROOT_C,0.0005986047
CO2_LIT,0.00038252329
CAN_RA,0.00035363177
N2_FIXN,0.00033187924
HUMUS_C,0.0002928401
NH4,0.00029266084
H_WTR_TBL,0.00025806337
H_SOIL_H,0.00024405676
CAN_LE,0.00022088288
H_SOL_RADN,0.00021806158
H_SOIL_RN,0.0001812917
CO2_FLUX,0.00012472735
O2_FLUX,0.00010908218
NDL_N,9.155905e-05
H_HUM_CAN_AIR,6.841003e-05
D_PRECN,6.6656205e-05
H_ECO_LE,4.7381218e-05
OXY_STRESS,3.4970668e-05
CH4_FLUX,3.2946045e-05
ECO_CO2_FLUX,2.425e-05
H_DISCHG,1.995761e-05
SHOOT_N,1.9744264e-05
H_TTL_SWC,1.8879098e-05
H_H_SEDIMENT,1.7740525e-05
TEMP_STRESS,1.7527762e-05
LITTER_C,1.4608721e-05
D_WTR_TBL,1.2327162e-05
SOIL_CO2_FLUX,1.1361214e-05
